dare,open,high,low,close
2007/4/2,84.62,85.02,84.32,84.86
2007/4/3,84.84,86.76,84.7,86.6
2007/4/4,86.58,87.02,86.29,86.68
2007/4/5,86.67,87,86.35,86.9
2007/4/6,86.91,87.46,86.83,87.11
2007/4/9,87.08,87.51,86.81,87.26
2007/4/10,87.27,87.53,86.46,86.94
2007/4/11,87.09,87.38,86.66,86.79
2007/4/12,86.79,87.03,86.19,86.68
2007/4/13,86.65,87.16,85.99,87.16
2007/4/16,87.15,88.53,86.87,88.3
2007/4/17,88.28,88.54,87.57,88.16
2007/4/18,88.15,88.41,87.15,87.94
2007/4/19,87.94,87.94,86.37,87.64
2007/4/20,87.63,88.74,87.4,88.34
2007/4/23,88.32,88.65,88.01,88.48
2007/4/24,88.54,89,87.79,88.62
2007/4/25,88.61,89.47,88.21,89.4
2007/4/26,89.5,89.89,89.08,89.54
2007/4/27,89.55,89.77,88.87,89.58
2007/4/30,89.37,89.6,85.83,86.96
2007/5/1,86.94,88.78,86.07,88.45
2007/5/2,88.45,88.87,87.96,88.56
2007/5/3,88.72,89,88.47,88.89
2007/5/4,88.89,89.33,88.48,89.02
2007/5/7,88.93,89.96,88.74,89.89
2007/5/8,89.89,89.93,89.15,89.73
2007/5/9,89.72,89.93,89.3,89.81
2007/5/10,89.82,90.32,88.59,88.59
2007/5/11,88.58,89.96,88.46,89.84
2007/5/14,89.88,90.52,89.74,90.2
2007/5/15,90.19,91,89.68,90.78
2007/5/16,90.93,91.45,89.8,91.12
2007/5/17,91.1,91.73,90.94,91.41
2007/5/18,91.42,91.52,90.46,91.26
2007/5/21,91.25,92.12,91.22,91.96
2007/5/22,91.96,92.1,91.33,91.38
2007/5/23,91.39,92.01,90.8,91.66
2007/5/24,91.64,91.93,90.46,90.52
2007/5/25,90.53,91.81,90.06,91.69
2007/5/28,91.64,92.09,91.04,92.04
2007/5/29,92.04,92.04,91.32,91.68
2007/5/30,91.69,91.83,90.96,91.76
2007/5/31,91.78,92.69,91.49,92.47
2007/6/1,92.46,93.22,92.34,93.13
2007/6/4,93.14,93.15,92.44,92.66
2007/6/5,92.75,92.92,92.06,92.35
2007/6/6,92.35,92.45,91.09,91.47
2007/6/7,91.45,92.16,89.99,90.01
2007/6/8,90.02,91.17,88.94,91.08
2007/6/11,90.99,91.42,90.71,91.13
2007/6/12,91.13,91.4,90.28,90.3
2007/6/13,90.3,91.92,90.04,91.8
2007/6/14,91.92,93.01,91.62,92.93
2007/6/15,92.83,94.69,92.7,94.15
2007/6/18,94.14,95.12,94.12,95.08
2007/6/19,95.08,95.14,94.52,94.69
2007/6/20,94.68,95.24,94.07,94.19
2007/6/21,94.27,94.71,93.88,94.6
2007/6/22,94.58,94.85,94.12,94.26
2007/6/25,94.35,94.86,93.15,93.26
2007/6/26,93.27,93.64,92.36,92.92
2007/6/27,92.92,92.96,91.65,92.94
2007/6/28,92.97,93.99,92.41,93.8
2007/6/29,93.8,94.7,92.64,93.78
2007/7/2,93.75,94.61,93.61,94.52
2007/7/3,94.5,95.09,94.27,94.49
2007/7/4,94.49,95.05,94.29,95
2007/7/5,94.92,95.32,94.25,94.76
2007/7/6,94.65,95.75,94.54,95.64
2007/7/9,95.67,96.24,95.63,96.18
2007/7/10,96.26,96.4,94.31,94.31
2007/7/11,94.3,95.29,93.35,95.13
2007/7/12,95.12,96.33,94.4,96.23
2007/7/13,96.3,96.56,95.63,96.09
2007/7/16,96.11,96.3,95.42,95.75
2007/7/17,95.83,96.38,95.15,96.17
2007/7/18,96.09,96.17,94.82,95.65
2007/7/19,95.64,96.67,95.44,96.51
2007/7/20,96.52,96.88,94.9,95.09
2007/7/23,95.28,97.38,95,97.01
2007/7/24,97.02,97.94,95.62,95.86
2007/7/25,95.87,97.05,95.59,96.37
2007/7/26,96.37,96.7,90.94,91.43
2007/7/27,91.42,92.05,89.18,90.58
2007/7/30,90.47,92.58,89.23,92.48
2007/7/31,92.49,93.93,91.87,92.11
2007/8/1,92.1,92.68,88.85,92.51
2007/8/2,92.51,93.45,91.54,93.42
2007/8/3,93.42,93.89,91.17,91.26
2007/8/6,90.87,93.62,90.41,93.43
2007/8/7,93.46,93.72,92.24,93.5
2007/8/8,93.56,95.58,93.2,95.42
2007/8/9,95.42,95.54,91.13,91.18
2007/8/10,91.17,92.1,89.43,91.8
2007/8/13,91.66,92.35,90.81,90.96
2007/8/14,90.97,91.09,88.49,88.49
2007/8/15,88.48,88.53,85.48,85.5
2007/8/16,85.51,85.62,78.49,82.13
2007/8/17,82.13,85.01,78.39,84.55
2007/8/20,84.35,86.11,83.16,84.07
2007/8/21,84.06,85.01,82.53,84.06
2007/8/22,84.05,86.8,83.84,86.72
2007/8/23,86.51,88.93,85.87,87.32
2007/8/24,87.41,88.51,86.03,88.49
2007/8/27,88.47,88.78,87.42,87.76
2007/8/28,87.75,87.75,85.05,85.05
2007/8/29,85.05,88.56,84.78,88.48
2007/8/30,88.47,88.67,87.26,88.17
2007/8/31,88.18,89.85,88.14,89.01
2007/9/3,88.96,89.73,88.77,89.25
2007/9/4,89.37,89.89,88.13,89.75
2007/9/5,89.74,89.85,87.92,88.3
2007/9/6,88.28,89.15,87.93,89.06
2007/9/7,88.98,89.29,86.35,86.64
2007/9/10,86.39,87.96,86.05,87.61
2007/9/11,87.47,89.37,87.32,89.33
2007/9/12,89.31,89.95,88.76,89.72
2007/9/13,89.7,91.92,89.52,91.14
2007/9/14,91.15,91.64,90.25,91.43
2007/9/17,91.36,91.55,90.38,90.6
2007/9/18,90.61,93.9,90.06,93.78
2007/9/19,93.78,94.33,93.05,94.04
2007/9/20,94.02,94.02,92,92.32
2007/9/21,92.33,94.48,92.17,94.14
2007/9/24,94.06,94.14,93.28,93.56
2007/9/25,93.56,93.64,92.37,93.36
2007/9/26,93.35,94.95,93.2,94.79
2007/9/27,94.77,95.41,94.6,95.1
2007/9/28,95.13,95.54,94.4,95.16
2007/10/1,95.12,96.64,95.09,96.37
2007/10/2,96.37,96.47,95.35,95.7
2007/10/3,95.69,97.34,95.45,96.79
2007/10/4,96.79,97.16,96.31,96.98
2007/10/5,96.98,99.45,96.83,99.03
2007/10/8,99.03,99.32,98.42,98.76
2007/10/9,98.74,99.08,98.29,98.99
2007/10/10,98.97,99.57,98.24,98.78
2007/10/11,98.71,99.67,97.82,98.46
2007/10/12,98.46,98.61,97.63,98.41
2007/10/15,98.26,98.68,95.45,96.17
2007/10/16,96.11,96.37,94.64,95.66
2007/10/17,95.66,97.57,94.95,96.44
2007/10/18,96.44,97.35,95.09,96.34
2007/10/19,96.31,96.43,93.99,94.08
2007/10/22,93.76,94.19,90.96,93.62
2007/10/23,93.52,95.06,92.94,94.88
2007/10/24,94.89,95.08,93.09,94.21
2007/10/25,94.3,96.11,93.79,95.62
2007/10/26,95.62,96.52,95.44,95.91
2007/10/29,95.86,96.67,95.75,96.39
2007/10/30,96.27,96.79,95.86,96.11
2007/10/31,96.08,99.32,96.06,99.18
2007/11/1,99.16,99.16,96.5,96.65
2007/11/2,96.56,97.97,96.31,97.26
2007/11/5,97.17,97.2,95.5,96.39
2007/11/6,96.63,98,96.25,97.8
2007/11/7,97.83,98.25,94.63,94.65
2007/11/8,94.62,96.32,94.14,95.36
2007/11/9,95.31,95.67,91.81,92.11
2007/11/12,91.72,92.09,89.69,89.69
2007/11/13,89.68,93.59,89.54,93.45
2007/11/14,93.43,95.44,93.38,94.59
2007/11/15,94.6,95.02,92.32,92.49
2007/11/16,92.57,94,92.16,93.79
2007/11/19,93.41,93.66,91.3,91.56
2007/11/20,91.56,92.98,91.38,92.87
2007/11/21,92.86,92.88,89.39,89.78
2007/11/22,89.79,90.9,89.74,90.53
2007/11/23,90.6,90.78,89.29,90.26
2007/11/26,90.63,91.32,87.46,87.83
2007/11/27,87.84,89.75,87.55,89.44
2007/11/28,89.39,93,88.68,92.75
2007/11/29,92.73,93.17,91.86,92.6
2007/11/30,92.6,94.54,92.44,93.94
2007/12/3,93.61,93.89,93.01,93.4
2007/12/4,93.41,93.55,92.24,92.58
2007/12/5,92.73,94.46,92.56,94.18
2007/12/6,94.15,94.83,93.78,94.68
2007/12/7,94.59,95.46,94.45,95.36
2007/12/10,95.01,95.77,94.91,95.54
2007/12/11,95.53,96.02,93.51,93.64
2007/12/12,93.76,96.29,93.68,95.81
2007/12/13,95.89,95.95,94.98,95.47
2007/12/14,95.37,95.99,95.21,95.5
2007/12/17,95.66,95.68,94.5,94.67
